main_champion,main_champion_games,counter_champion,delta,matchup_games
Ahri,,Heimerdinger,-0.68,6670
Ahri,,Singed,1.21,1941
Ahri,,Veigar,-0.95,81174
Ahri,,Rek'Sai,-0.88,161
Ahri,,Kalista,-2.45,750
Ahri,,Rakan,-3.74,271
Ahri,,Neeko,-2.18,4759
Ahri,,Xerath,0.21,46564
Ahri,,Fizz,-0.13,65997
Ahri,,Lux,-0.48,58889
Ahri,,Naafiri,-1.52,30801
Ahri,,Kayle,-0.37,3759
Ahri,,Maokai,-3.40,266
Ahri,,Swain,0.19,9378
Ahri,,Tahm Kench,-0.17,966
Ahri,,Malzahar,0.59,85160
Ahri,,Kled,1.85,1036
Ahri,,Karthus,-1.84,1707
Ahri,,Vex,0.08,45801
Ahri,,Morgana,-0.42,7869
Ahri,,Vladimir,-0.24,37025
Ahri,,Annie,-0.94,26311
Ahri,,Syndra,-0.48,80046
Ahri,,Teemo,0.19,4432
Ahri,,Mordekaiser,2.25,2321
Ahri,,Viktor,0.18,81486
Ahri,,Kog'Maw,-0.11,2378
Ahri,,Nasus,2.71,7032
Ahri,,Zed,-1.48,87277
Ahri,,Katarina,-1.26,70366
Ahri,,Ekko,-0.19,34845
Ahri,,Mel,-4.54,53935
Ahri,,Yasuo,-1.56,104896
Ahri,,Illaoi,1.26,934
Ahri,,Ziggs,-0.25,10211
Ahri,,Diana,0.07,45805
Ahri,,Kassadin,-0.15,22728
Ahri,,Twisted Fate,0.20,41075
Ahri,,Jhin,-2.83,2584
Ahri,,Vel'Koz,0.69,10159
Ahri,,Yorick,0.29,2794
Ahri,,Lissandra,0.62,42417
Ahri,,Fiddlesticks,1.85,863
Ahri,,Quinn,1.67,3292
Ahri,,Brand,0.67,13011
Ahri,,Hwei,0.80,39260
Ahri,,Akshan,-1.01,23957
Ahri,,Talon,-0.80,18959
Ahri,,Sylas,-0.51,103180
Ahri,,Camille,-1.07,574
Ahri,,Zilean,2.60,2654
Ahri,,Urgot,0.35,586
Ahri,,Gwen,2.45,9839
Ahri,,Draven,-2.41,810
Ahri,,Kennen,2.16,3784
Ahri,,Zoe,-0.66,28535
Ahri,,Gangplank,0.50,6383
Ahri,,Jarvan IV,0.36,710
Ahri,,Ambessa,1.72,2192
Ahri,,Dr. Mundo,-0.35,1712
Ahri,,LeBlanc,-0.26,47376
Ahri,,Zyra,0.20,2568
Ahri,,Poppy,0.89,224
Ahri,,Sion,2.28,5642
Ahri,,Tryndamere,4.35,3415
Ahri,,Irelia,0.28,28744
Ahri,,Malphite,1.91,8244
Ahri,,Vayne,-0.87,1651
Ahri,,Briar,4.52,2927
Ahri,,Garen,3.48,4267
Ahri,,Aurora,0.05,23439
Ahri,,Pantheon,2.68,9402
Ahri,,Olaf,2.23,493
Ahri,,Darius,0.44,739
Ahri,,Aurelion Sol,1.61,16717
Ahri,,Shen,2.35,806
Ahri,,Xin Zhao,1.77,2092
Ahri,,Wukong,2.26,982
Ahri,,Gragas,2.76,3460
Ahri,,Tristana,-1.03,8905
Ahri,,Seraphine,-0.40,3213
Ahri,,Evelynn,1.08,157
Ahri,,Karma,-0.78,1804
Ahri,,Zac,4.19,909
Ahri,,Twitch,-0.55,1963
Ahri,,Yone,1.62,90182
Ahri,,Locke,0.41,61360
Ahri,,Anivia,1.93,21756
Ahri,,Taliyah,-0.25,10925
Ahri,,Qiyana,-0.92,18743
Ahri,,Galio,1.80,43670
Ahri,,Nidalee,-1.92,684
Ahri,,Cho'Gath,2.43,5141
Ahri,,Ryze,-0.45,26044
Ahri,,Elise,1.83,295
Ahri,,Samira,-3.17,561
Ahri,,Aphelios,-0.90,585
Ahri,,Akali,1.25,74182
Ahri,,Caitlyn,-1.47,3249
Ahri,,Smolder,-0.44,4694
Ahri,,Master Yi,2.16,1686
Ahri,,Nocturne,3.94,713
Ahri,,Jinx,-0.38,467
Ahri,,Sett,6.00,1613
Ahri,,Fiora,4.51,717
Ahri,,Nunu & Willump,1.44,2234
Ahri,,Rumble,3.52,1264
Ahri,,Vi,2.23,826
Ahri,,Cassiopeia,0.60,16109
Ahri,,Varus,-0.89,2753
Ahri,,Pyke,-1.09,698
Ahri,,Xayah,0.40,218
Ahri,,Jayce,1.55,6139
Ahri,,Orianna,0.14,30514
Ahri,,Kayn,2.23,378
Ahri,,Miss Fortune,-0.49,2143
Ahri,,Zeri,0.81,619
Ahri,,Trundle,2.13,314
Ahri,,Sejuani,2.94,389
Ahri,,Viego,3.33,1999
Ahri,,Ornn,3.13,612
Ahri,,Kai'Sa,-0.10,3715
Ahri,,Warwick,5.09,364
Ahri,,Soraka,-2.25,274
Ahri,,Azir,0.82,17856
Ahri,,Kindred,-0.52,378
Ahri,,Aatrox,3.78,1257
Ahri,,Ezreal,-1.54,6016
Ahri,,Renekton,6.65,1371
Ahri,,Sivir,-1.87,544
Ahri,,Riven,5.61,4989
Ahri,,Graves,2.36,903
Ahri,,Ashe,-0.12,1953
Ahri,,Gnar,2.04,390
Ahri,,Leona,-4.88,101
Ahri,,Thresh,-1.64,303
Ahri,,Jax,5.44,828
Ahri,,Shaco,1.84,407
Ahri,,Lucian,-0.89,2329
Ahri,,Corki,1.55,2555
Ahri,,Zaahen,6.19,600
Ahri,,Lillia,4.44,226
Ahri,,Yunara,-1.17,440
Ahri,,Udyr,2.40,421
Ahri,,Nautilus,1.29,394
Ahri,,Volibear,6.20,497
Ahri,,Lee Sin,2.57,1136
Ahri,,K'Sante,5.41,641
Ahri,,Skarner,4.41,112
Ahri,,Kha'Zix,0.95,120
Ahri,,Ivern,6.69,189
Ahri,,Alistar,2.71,222
Ahri,,Lulu,3.52,290
Ahri,,Bel'Veth,1.52,294
Ahri,,Shyvana,4.98,200
Ahri,,Senna,5.30,505
Ahri,,Janna,2.70,127
Ahri,,Blitzcrank,0.21,254
Ahri,,Sona,5.46,123
Ahri,,Bard,1.02,103
Akali,,Fiddlesticks,-4.11,1040
Akali,,Illaoi,-3.32,1212
Akali,,Veigar,-3.11,47270
Akali,,Lillia,-7.22,143
Akali,,Elise,-5.05,224
Akali,,Kled,-1.44,947
Akali,,Heimerdinger,-1.13,4958
Akali,,Shen,-3.18,750
Akali,,Rumble,-3.69,1078
Akali,,Malzahar,-2.15,48890
Akali,,Nasus,-0.47,5417
Akali,,Zac,-1.47,737
Akali,,Singed,1.33,1316
Akali,,Mordekaiser,-0.48,2499
Akali,,Briar,0.04,2463
Akali,,Quinn,-1.93,2301
Akali,,Ornn,-4.55,517
Akali,,Vex,-2.19,36755
Akali,,Tahm Kench,-2.09,847
Akali,,Twisted Fate,-2.87,30849
Akali,,Zilean,-0.87,1671
Akali,,Lissandra,-2.26,35487
Akali,,Galio,-3.15,50076
Akali,,Pantheon,-1.29,13990
Akali,,Kennen,-1.17,2592
Akali,,Swain,-0.97,6547
Akali,,Gragas,-1.06,2651
Akali,,Lux,-1.00,34757
Akali,,Aurelion Sol,-1.98,10654
Akali,,Sett,0.96,1854
Akali,,Nidalee,-6.24,422
Akali,,Yorick,-1.69,2025
Akali,,Sion,-0.36,4702
Akali,,Teemo,-0.59,3267
Akali,,Ahri,-1.27,74182
Akali,,Vladimir,-0.93,24509
Akali,,Kassadin,-1.73,14476
Akali,,Gangplank,-1.88,4569
Akali,,Morgana,-0.88,5278
Akali,,Kalista,-1.20,467
Akali,,Hwei,-0.52,22593
Akali,,Urgot,-1.00,633
Akali,,Maokai,-2.59,236
Akali,,Brand,-0.23,8504
Akali,,Kog'Maw,-0.01,1374
Akali,,Annie,-0.62,13401
Akali,,Zyra,-1.35,1530
Akali,,Neeko,-0.70,3154
Akali,,Garen,1.86,4321
Akali,,Naafiri,-0.36,21845
Akali,,Wukong,0.22,813
Akali,,Tryndamere,2.95,2809
Akali,,Talon,-1.54,18574
Akali,,Rek'Sai,1.43,151
Akali,,Syndra,0.26,41321
Akali,,Aphelios,-3.63,390
Akali,,Riven,-0.08,4032
Akali,,Renekton,1.39,2019
Akali,,Vel'Koz,0.79,5697
Akali,,Diana,0.56,32794
Akali,,Karthus,-0.51,1097
Akali,,Kayle,1.52,2189
Akali,,Ambessa,1.25,1912
Akali,,Zed,-0.42,68390
Akali,,Cho'Gath,0.43,3780
Akali,,Seraphine,-1.64,1867
Akali,,LeBlanc,-0.67,30590
Akali,,Akshan,-0.75,13781
Akali,,Fizz,2.21,48952
Akali,,Anivia,0.31,12657
Akali,,Gwen,2.39,6521
Akali,,Zoe,-0.84,17228
Akali,,Poppy,0.60,335
Akali,,Jayce,-1.55,4920
Akali,,Malphite,1.56,6612
Akali,,Vayne,-1.20,1059
Akali,,Xerath,2.72,26056
Akali,,Shaco,-3.82,296
Akali,,Sejuani,-0.36,334
Akali,,Taliyah,-1.66,6387
Akali,,Aurora,-0.30,13943
Akali,,Varus,-3.56,2114
Akali,,Aatrox,-0.48,1235
Akali,,Yasuo,-0.14,97432
Akali,,Warwick,1.61,300
Akali,,Ziggs,1.11,6447
Akali,,Dr. Mundo,-0.14,1332
Akali,,Kayn,-0.49,350
Akali,,Ryze,-1.72,18731
Akali,,Darius,0.22,799
Akali,,Sylas,0.32,78553
Akali,,K'Sante,-1.42,752
Akali,,Xayah,-1.93,168
Akali,,Evelynn,0.65,110
Akali,,Qiyana,-1.79,14113
Akali,,Volibear,0.04,530
Akali,,Kai'Sa,-2.98,2419
Akali,,Karma,-1.02,1187
Akali,,Viktor,2.72,57613
Akali,,Ekko,2.19,23041
Akali,,Jinx,-1.41,309
Akali,,Fiora,3.28,519
Akali,,Smolder,-1.08,3216
Akali,,Jhin,-0.60,1747
Akali,,Trundle,0.46,253
Akali,,Miss Fortune,-1.94,1397
Akali,,Katarina,1.80,54934
Akali,,Zeri,-0.51,387
Akali,,Corki,-2.88,1923
Akali,,Xin Zhao,2.89,1421
Akali,,Rakan,1.46,183
Akali,,Jarvan IV,2.41,460
Akali,,Ashe,-2.89,1296
Akali,,Senna,-2.45,362
Akali,,Draven,0.24,510
Akali,,Vi,2.25,712
Akali,,Yone,2.87,88259
Akali,,Irelia,3.02,24407
Akali,,Cassiopeia,0.96,10152
Akali,,Zaahen,2.88,544
Akali,,Caitlyn,-0.39,2258
Akali,,Ivern,0.62,143
Akali,,Mel,0.03,25683
Akali,,Shyvana,-1.44,161
Akali,,Graves,0.93,659
Akali,,Nunu & Willump,2.33,1653
Akali,,Orianna,0.59,18675
Akali,,Master Yi,3.76,1127
Akali,,Twitch,1.86,1121
Akali,,Lee Sin,-0.91,1177
Akali,,Locke,2.76,59436
Akali,,Tristana,1.94,5319
Akali,,Lulu,-2.09,257
Akali,,Azir,1.14,11547
Akali,,Viego,4.22,1800
Akali,,Olaf,6.25,330
Akali,,Samira,-0.36,378
Akali,,Nocturne,6.45,524
Akali,,Jax,5.58,740
Akali,,Camille,4.87,409
Akali,,Kindred,1.14,232
Akali,,Ezreal,-0.12,4059
Akali,,Lucian,-0.73,1540
Akali,,Nautilus,0.32,354
Akali,,Thresh,-0.76,216
Akali,,Blitzcrank,-5.88,214
Akali,,Pyke,2.40,463
Akali,,Soraka,2.17,161
Akali,,Udyr,4.86,295
Akali,,Gnar,6.15,327
Akali,,Yunara,2.21,240
Akali,,Alistar,3.74,208
Akali,,Sivir,4.02,300
Akali,,Bel'Veth,4.72,215
Aatrox,,Zoe,-7.32,346
Aatrox,,Vel'Koz,-6.01,604
Aatrox,,Syndra,-4.59,386
Aatrox,,Naafiri,-4.90,2282
Aatrox,,Azir,-5.81,431
Aatrox,,Katarina,-6.91,478
Aatrox,,Heimerdinger,-4.10,12295
Aatrox,,Singed,-1.76,14768
Aatrox,,Morgana,-5.10,809
Aatrox,,LeBlanc,-4.91,434
Aatrox,,Zyra,-5.66,222
Aatrox,,Zilean,-1.65,1260
Aatrox,,Lissandra,-2.06,1277
Aatrox,,Briar,-2.46,1897
Aatrox,,Malphite,-1.78,41667
Aatrox,,Illaoi,-1.28,23877
Aatrox,,Kled,-0.93,9075
Aatrox,,Yorick,-0.73,27324
Aatrox,,Urgot,-0.94,17718
Aatrox,,Garen,-0.51,45705
Aatrox,,Irelia,-2.56,24360
Aatrox,,Zed,-0.63,2250
Aatrox,,Wukong,-0.49,6610
Aatrox,,Zac,0.14,2230
Aatrox,,Kayle,-0.37,12142
Aatrox,,Annie,-0.70,371
Aatrox,,Warwick,0.18,9242
Aatrox,,Yone,-1.33,58986
Aatrox,,Mordekaiser,0.24,68479
Aatrox,,Brand,-1.42,3088
Aatrox,,Fiora,-2.29,25842
Aatrox,,Rek'Sai,-0.44,426
Aatrox,,Ahri,0.92,822
Aatrox,,Pantheon,-1.75,17824
Aatrox,,Ornn,0.04,14862
Aatrox,,Kennen,-2.16,7436
Aatrox,,Malzahar,-0.84,3224
Aatrox,,Renekton,-0.48,38952
Aatrox,,Orianna,-3.53,133
Aatrox,,Cassiopeia,-1.57,2056
Aatrox,,Teemo,1.47,41066
Aatrox,,Karma,-3.00,739
Aatrox,,Volibear,-0.55,21490
Aatrox,,Quinn,-0.13,4442
Aatrox,,Jax,-0.08,33980
Aatrox,,Nocturne,-0.08,592
Aatrox,,Lillia,-4.75,396
Aatrox,,Vayne,-1.33,18237
Aatrox,,Yasuo,-1.52,21586
Aatrox,,Tryndamere,0.91,22631
Aatrox,,Fizz,-1.57,745
Aatrox,,Zaahen,0.18,18254
Aatrox,,Darius,-0.71,53591
Aatrox,,Gwen,-1.04,11769
Aatrox,,Qiyana,-0.62,541
Aatrox,,Gnar,-1.22,19567
Aatrox,,Lux,-0.82,472
Aatrox,,Poppy,0.47,5031
Aatrox,,Ambessa,-1.15,21904
Aatrox,,Senna,-1.83,455
Aatrox,,Nasus,2.67,39341
Aatrox,,Kog'Maw,0.42,546
Aatrox,,Jhin,-2.71,799
Aatrox,,Veigar,1.19,1257
Aatrox,,Shen,1.48,18004
Aatrox,,Diana,-1.26,683
Aatrox,,Sett,2.33,46967
Aatrox,,Kalista,-1.05,1496
Aatrox,,Shaco,-3.28,1051
Aatrox,,Tahm Kench,1.16,12654
Aatrox,,Kai'Sa,-2.62,988
Aatrox,,Sejuani,0.88,1179
Aatrox,,Fiddlesticks,1.26,1324
Aatrox,,Anivia,1.82,2627
Aatrox,,Gangplank,1.10,31821
Aatrox,,Akali,0.30,13430
Aatrox,,Gragas,-0.17,9331
Aatrox,,Viktor,1.88,1110
Aatrox,,Galio,0.94,883
Aatrox,,Camille,0.69,11138
Aatrox,,Udyr,-0.34,2571
Aatrox,,Graves,-2.01,1487
Aatrox,,Neeko,0.99,344
Aatrox,,Aurora,0.75,1778
Aatrox,,Trundle,1.40,10021
Aatrox,,Cho'Gath,1.72,14512
Aatrox,,Riven,-0.27,12996
Aatrox,,Hwei,3.99,382
Aatrox,,Corki,-2.34,409
Aatrox,,Jayce,-0.51,31093
Aatrox,,Aurelion Sol,3.01,489
Aatrox,,Vladimir,1.07,4659
Aatrox,,Olaf,2.70,13674
Aatrox,,Ziggs,-0.05,290
Aatrox,,Draven,-0.48,633
Aatrox,,Master Yi,-0.12,4229
Aatrox,,Sion,2.83,17314
Aatrox,,Akshan,2.23,610
Aatrox,,Swain,1.82,3494
Aatrox,,Rumble,0.43,9484
Aatrox,,K'Sante,-0.98,20082
Aatrox,,Xin Zhao,1.98,1823
Aatrox,,Seraphine,-0.91,110
Aatrox,,Maokai,2.57,2610
Aatrox,,Dr. Mundo,4.63,35635
Aatrox,,Ekko,1.08,782
Aatrox,,Sylas,3.03,4767
Aatrox,,Ashe,-1.62,1051
Aatrox,,Mel,-2.29,400
Aatrox,,Viego,0.47,815
Aatrox,,Nautilus,-1.37,464
Aatrox,,Locke,-1.16,3019
Aatrox,,Twisted Fate,0.94,1031
Aatrox,,Rengar,-1.74,1744
Aatrox,,Xerath,0.98,153
Aatrox,,Vi,-0.38,697
Aatrox,,Taliyah,3.79,136
Aatrox,,Caitlyn,-0.43,1472
Aatrox,,Varus,1.90,3483
Aatrox,,Tristana,0.23,1028
Aatrox,,Kayn,2.17,2456
Aatrox,,Karthus,2.35,365
Aatrox,,Shyvana,0.93,1141
Aatrox,,Lulu,-2.68,246
Aatrox,,Ivern,0.87,362
Aatrox,,Vex,5.23,189
Aatrox,,Ryze,3.44,2604
Aatrox,,Skarner,0.23,1055
Aatrox,,Rammus,2.68,400
Aatrox,,Smolder,1.67,1887
Aatrox,,Jarvan IV,0.20,433
Aatrox,,Lee Sin,-0.44,1390
Aatrox,,Thresh,-4.15,200
Aatrox,,Aphelios,2.55,132
Aatrox,,Elise,5.92,363
Aatrox,,Kassadin,7.87,382
Aatrox,,Twitch,-0.98,126
Aatrox,,Nidalee,-0.49,408
Aatrox,,Bel'Veth,-0.68,375
Aatrox,,Miss Fortune,-0.08,211
Aatrox,,Talon,4.21,281
Aatrox,,Alistar,2.85,553
Aatrox,,Zeri,5.14,174
Aatrox,,Soraka,3.85,214
Aatrox,,Ezreal,1.07,777
Aatrox,,Leona,-2.18,213
Aatrox,,Lucian,2.66,535
Aatrox,,Evelynn,7.51,104
Aatrox,,Taric,4.21,117
Aatrox,,Jinx,6.78,132
Aatrox,,Amumu,3.45,145
Aatrox,,Hecarim,3.59,104
Aatrox,,Blitzcrank,4.32,130
Ambessa,,Vex,-9.15,211
Ambessa,,Taliyah,-8.81,113
Ambessa,,Neeko,-6.00,250
Ambessa,,Qiyana,-5.91,399
Ambessa,,Rek'Sai,-3.83,329
Ambessa,,Fiddlesticks,-4.27,1130
Ambessa,,Warwick,-2.66,7453
Ambessa,,Illaoi,-2.39,11641
Ambessa,,Wukong,-2.37,3181
Ambessa,,Syndra,-1.62,199
Ambessa,,Teemo,-1.64,19493
Ambessa,,Tryndamere,-2.72,13114
Ambessa,,Renekton,-3.02,36144
Ambessa,,Singed,-0.37,8042
Ambessa,,Yorick,-1.19,13741
Ambessa,,Lissandra,-1.50,922
Ambessa,,Zeri,-5.89,118
Ambessa,,Zyra,-4.56,107
Ambessa,,Morgana,-3.31,438
Ambessa,,Irelia,-2.82,12426
Ambessa,,Zed,-0.93,1514
Ambessa,,Cassiopeia,-3.24,1339
Ambessa,,Azir,-2.24,319
Ambessa,,Malphite,-0.56,19100
Ambessa,,Zoe,-1.09,249
Ambessa,,Kennen,-2.58,4056
Ambessa,,Kled,-0.07,5022
Ambessa,,Poppy,-1.45,5629
Ambessa,,Draven,-4.44,324
Ambessa,,Zilean,0.35,826
Ambessa,,Malzahar,-0.91,1667
Ambessa,,Briar,-0.50,1066
Ambessa,,Kalista,-3.10,722
Ambessa,,Camille,-2.23,8256
Ambessa,,Volibear,-1.28,10807
Ambessa,,Quinn,-1.04,2666
Ambessa,,Garen,0.55,24039
Ambessa,,Shen,-0.42,10694
Ambessa,,Swain,-2.18,1947
Ambessa,,Ahri,1.20,519
Ambessa,,Pantheon,-1.31,9430
Ambessa,,Kassadin,0.26,270
Ambessa,,Kayle,0.42,6613
Ambessa,,Heimerdinger,-0.01,5804
Ambessa,,Sett,0.68,21551
Ambessa,,Mordekaiser,0.92,28842
Ambessa,,Zaahen,-0.68,11377
Ambessa,,Katarina,-2.14,280
Ambessa,,Gangplank,-0.39,16323
Ambessa,,Aurora,-1.52,1133
Ambessa,,Urgot,0.96,8345
Ambessa,,Darius,-1.30,25703
Ambessa,,Shyvana,-3.67,696
Ambessa,,Varus,-2.24,2069
Ambessa,,Nasus,2.28,18807
Ambessa,,Zac,2.06,1375
Ambessa,,Akshan,-0.14,450
Ambessa,,Olaf,0.69,8254
Ambessa,,Trundle,-0.16,5366
Ambessa,,Lux,-0.71,217
Ambessa,,Jax,0.72,18022
Ambessa,,Vayne,-0.71,9198
Ambessa,,Brand,0.64,1253
Ambessa,,Yone,0.82,27310
Ambessa,,Talon,-3.10,165
Ambessa,,Tahm Kench,1.05,6893
Ambessa,,Veigar,1.60,698
Ambessa,,Master Yi,-1.58,2266
Ambessa,,Gwen,-0.17,6945
Ambessa,,Sylas,0.79,2649
Ambessa,,Ornn,2.52,8740
Ambessa,,Rammus,-2.00,226
Ambessa,,Soraka,-3.68,135
Ambessa,,Riven,-1.10,8078
Ambessa,,Anivia,2.17,1762
Ambessa,,Viktor,1.93,693
Ambessa,,Tristana,-2.57,618
Ambessa,,Aatrox,1.15,21904
Ambessa,,Gnar,0.08,11472
Ambessa,,Twisted Fate,-1.05,750
Ambessa,,Xin Zhao,0.57,1093
Ambessa,,Akali,1.12,8104
Ambessa,,Maokai,1.23,1678
Ambessa,,Fiora,1.24,11226
Ambessa,,Gragas,0.61,5439
Ambessa,,Vi,-2.30,509
Ambessa,,Cho'Gath,1.85,7806
Ambessa,,Kog'Maw,2.11,409
Ambessa,,Dr. Mundo,3.66,15224
Ambessa,,Ryze,0.61,1655
Ambessa,,Aurelion Sol,3.03,359
Ambessa,,Naafiri,3.18,1092
Ambessa,,Elise,1.71,205
Ambessa,,Jayce,-0.36,15743
Ambessa,,Udyr,0.36,1542
Ambessa,,Kayn,0.44,1361
Ambessa,,Yasuo,1.10,10993
Ambessa,,Fizz,1.04,393
Ambessa,,Graves,-0.86,743
Ambessa,,Vladimir,1.77,2823
Ambessa,,Corki,-1.42,301
Ambessa,,Senna,0.88,320
Ambessa,,Sion,3.36,9590
Ambessa,,Lulu,-3.81,147
Ambessa,,Rumble,0.87,5405
Ambessa,,Diana,1.46,355
Ambessa,,Hwei,5.26,245
Ambessa,,Nocturne,3.61,312
Ambessa,,Sejuani,3.54,770
Ambessa,,Rengar,-1.27,1035
Ambessa,,Alistar,-0.94,284
Ambessa,,Nautilus,-0.30,299
Ambessa,,Jarvan IV,-1.11,226
Ambessa,,Kai'Sa,1.61,589
Ambessa,,Annie,6.09,228
Ambessa,,Shaco,1.21,572
Ambessa,,Viego,2.55,496
Ambessa,,Vel'Koz,6.82,291
Ambessa,,Lee Sin,-0.90,765
Ambessa,,Ivern,2.49,266
Ambessa,,K'Sante,2.19,11023
Ambessa,,LeBlanc,5.87,243
Ambessa,,Karthus,4.88,286
Ambessa,,Skarner,1.30,693
Ambessa,,Caitlyn,2.48,657
Ambessa,,Locke,2.37,1824
Ambessa,,Ziggs,4.84,149
Ambessa,,Galio,6.88,552
Ambessa,,Nidalee,0.51,253
Ambessa,,Lucian,-0.33,260
Ambessa,,Ashe,2.89,496
Ambessa,,Smolder,3.97,963
Ambessa,,Karma,5.76,461
Ambessa,,Ekko,6.48,480
Ambessa,,Mel,4.09,203
Ambessa,,Jhin,6.53,416
Ambessa,,Lillia,6.06,232
Ambessa,,Ezreal,3.15,373
Ambessa,,Miss Fortune,6.18,101
Ambessa,,Bel'Veth,9.23,227
Ambessa,,Thresh,9.53,111
Akshan,,Fiddlesticks,-9.90,223
Akshan,,Camille,-10.27,105
Akshan,,Malphite,-4.72,4625
Akshan,,Teemo,-4.49,1029
Akshan,,Shen,-4.52,217
Akshan,,Singed,0.01,370
Akshan,,Yorick,-4.33,466
Akshan,,Wukong,-3.66,221
Akshan,,Fiora,-3.14,160
Akshan,,Mordekaiser,-0.80,451
Akshan,,Swain,-2.14,1743
Akshan,,Heimerdinger,-0.48,1293
Akshan,,Yasuo,-4.75,18493
Akshan,,Irelia,-4.24,6456
Akshan,,Draven,-6.63,230
Akshan,,Tahm Kench,-2.26,207
Akshan,,Pantheon,-1.80,3278
Akshan,,Xin Zhao,-2.77,477
Akshan,,Master Yi,-3.34,345
Akshan,,Neeko,-2.60,908
Akshan,,Vex,-1.24,8983
Akshan,,Zac,-0.08,196
Akshan,,Tryndamere,1.08,762
Akshan,,Zilean,0.04,581
Akshan,,Veigar,-0.29,14696
Akshan,,Gwen,-0.14,2102
Akshan,,Diana,-1.60,9336
Akshan,,Vladimir,-1.03,8605
Akshan,,Gragas,-0.48,791
Akshan,,Kayle,-0.40,945
Akshan,,Nasus,1.75,1493
Akshan,,Lux,-0.27,10911
Akshan,,Nidalee,-5.80,127
Akshan,,Anivia,-1.58,4333
Akshan,,Vi,-2.38,198
Akshan,,Naafiri,-1.09,6461
Akshan,,Quinn,0.19,737
Akshan,,Sett,1.84,328
Akshan,,Rumble,-0.95,269
Akshan,,Fizz,0.53,12538
Akshan,,Malzahar,0.62,17189
Akshan,,Brand,-0.64,2381
Akshan,,Briar,2.44,583
Akshan,,Annie,-0.75,4903
Akshan,,Darius,-1.74,173
Akshan,,Viktor,0.33,15894
Akshan,,Riven,-0.62,1383
Akshan,,Sion,1.04,1131
Akshan,,Syndra,0.23,15424
Akshan,,Aphelios,-3.69,136
Akshan,,Lissandra,0.34,8143
Akshan,,Katarina,-0.66,15239
Akshan,,Dr. Mundo,-1.22,320
Akshan,,Twisted Fate,0.20,8078
Akshan,,Ambessa,1.12,608
Akshan,,Viego,-0.48,334
Akshan,,Xerath,2.39,9179
Akshan,,Aatrox,-1.03,289
Akshan,,Hwei,0.96,8362
Akshan,,Galio,-0.06,7536
Akshan,,Illaoi,2.01,185
Akshan,,Jax,-0.15,272
Akshan,,Ahri,1.01,23957
Akshan,,Ekko,1.05,7626
Akshan,,Olaf,1.72,109
Akshan,,Ornn,-0.30,139
Akshan,,Zoe,-0.54,5501
Akshan,,K'Sante,-1.75,153
Akshan,,Nunu & Willump,-0.88,368
Akshan,,Sylas,0.29,12860
Akshan,,Aurora,0.09,4564
Akshan,,Vel'Koz,1.93,2200
Akshan,,Kennen,2.70,829
Akshan,,Taliyah,-1.07,2374
Akshan,,Cho'Gath,1.47,1131
Akshan,,Zed,0.65,17789
Akshan,,Varus,-2.90,624
Akshan,,Zyra,0.98,468
Akshan,,Kled,4.80,245
Akshan,,Locke,0.20,14142
Akshan,,Kog'Maw,2.60,574
Akshan,,Aurelion Sol,2.20,3525
Akshan,,Seraphine,0.00,543
Akshan,,Akali,0.75,13781
Akshan,,Graves,-1.12,169
Akshan,,LeBlanc,1.06,8686
Akshan,,Ziggs,2.34,2075
Akshan,,Azir,-1.23,3453
Akshan,,Kalista,2.76,177
Akshan,,Yone,2.32,17423
Akshan,,Qiyana,-0.36,4195
Akshan,,Karthus,2.07,382
Akshan,,Vayne,1.06,327
Akshan,,Miss Fortune,-1.39,437
Akshan,,Ryze,0.15,5159
Akshan,,Orianna,-0.61,5525
Akshan,,Volibear,1.54,110
Akshan,,Renekton,4.56,318
Akshan,,Cassiopeia,0.39,3603
Akshan,,Caitlyn,-1.00,768
Akshan,,Urgot,3.14,140
Akshan,,Kassadin,3.37,5340
Akshan,,Mel,-0.34,7893
Akshan,,Jayce,1.52,1447
Akshan,,Tristana,1.22,1985
Akshan,,Morgana,4.39,1399
Akshan,,Talon,2.72,3790
Akshan,,Gangplank,3.66,1408
Akshan,,Jhin,1.44,605
Akshan,,Garen,6.80,828
Akshan,,Lee Sin,-0.48,205
Akshan,,Corki,-0.07,645
Akshan,,Twitch,2.79,423
Akshan,,Kai'Sa,1.28,844
Akshan,,Ashe,0.67,405
Akshan,,Senna,1.21,110
Akshan,,Sivir,-0.55,117
Akshan,,Smolder,3.86,983
Akshan,,Yunara,-1.47,116
Akshan,,Jarvan IV,6.88,139
Akshan,,Karma,4.70,415
Akshan,,Pyke,4.36,128
Akshan,,Ezreal,2.46,1190
Akshan,,Zaahen,8.42,124
Akshan,,Lucian,2.11,561
Akshan,,Nocturne,10.73,101
Akshan,,Samira,4.89,123
Akshan,,Zeri,9.81,112
Alistar,,Aurora,-13.00,112
Alistar,,Senna,-3.24,19553
Alistar,,Taric,-0.46,5760
Alistar,,Janna,-1.45,9378
Alistar,,Swain,-3.80,15947
Alistar,,Taliyah,-5.29,425
Alistar,,Hwei,-2.59,2130
Alistar,,Morgana,-1.81,23255
Alistar,,Poppy,-0.79,14852
Alistar,,Seraphine,-1.33,30906
Alistar,,Soraka,-0.88,11693
Alistar,,Brand,-1.16,13008
Alistar,,Amumu,0.06,2495
Alistar,,Vel'Koz,-0.92,9774
